Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Miernikiem pozwalającym porównać jakość życia w poszczególnych krajach jest:,Human Development Index (HDI),PKB per capita,PNB per capita,wysokość wszystkich wydatków budżetowych
"Wskaźnik rozwoju gospodarczego, który uwzględnia między innymi długość życia i poziom edukacji, to:",Human Development Index (HDI),produkt krajowy brutto (PKB),produkt narodowy brutto (PNB),produkt krajowy brutto per capita (PKB per capita)
Produkt krajowy brutto (PKB) mierzy:,wartość wszystkich finalnych dóbr i usług wytworzonych w danym kraju w danym okresie,sumę aktywów posiadanych przez dany kraj,"sumę dochodów uzyskiwanych przez obywateli danego kraju, niezależnie od miejsca ich pracy",wartość eksportu z danego kraju pomniejszoną o wartość importu do danego kraju
Który z poniższych mierników w najbardziej obiektywny sposób pozwoli porównać gospodarki różnych państw:,PKB per capita w parytecie siły nabywczej,dochód narodowy,PKB per capita,PKB
Współczynnik Giniego w ekonomii pozwala mierzyć:,nierówność dochodów,realne PKB,stabilność pieniądza,zmienność cen
"Wadą PKB jako miernika koniunktury gospodarczej nie jest to, że:",PKB nie uwzględnia dóbr pośrednich,PKB nie uwzględnia jakości oferowanych dóbr i usług,PKB nie uwzględnia czasu wolnego ludzi,PKB nie uwzględnia rozwarstwienia dochodów ludności
"Wartość produktu narodowego brutto pomniejszona o amortyzację, czyli koszt zużycia środków trwałych, to:",produkt narodowy netto (PNN),dochód narodowy (DN),produkt krajowy brutto (PKB),dochód rozporządzalny
"Dochód narodowy (DN) oblicza się, pomniejszając produkt narodowy netto dodatkowo o:",podatki pośrednie (np. VAT i akcyzę),amortyzację,płatności transferowe,saldo dochodów z zagranicy
"Wydatki socjalne, takie jak zasiłki dla bezrobotnych, nie są wliczane do PKB, ponieważ:",nie wiążą się z wytworzeniem nowego dobra ani usługi,"są zbyt małe, by mieć znaczenie statystyczne",dotyczą wyłącznie sektora publicznego,są wliczane do PKB tylko w metodzie sumowania dochodów
"Sprzedaż używanego samochodu nie jest wliczana ponownie do PKB, aby uniknąć:",podwójnego liczenia dobra już policzonego przy jego pierwotnej produkcji,zawyżenia salda handlu zagranicznego,zaniżenia wskaźnika inflacji,pomylenia inwestycji z konsumpcją
Krzywa Lorenza przedstawia graficznie:,stopień nierówności w rozkładzie dochodów (lub majątku) w społeczeństwie,zależność między ceną a wielkością popytu,poziom rozwoju gospodarczego danego kraju,zmiany PKB w czasie
Na osi poziomej wykresu krzywej Lorenza znajduje się skumulowany odsetek:,"ludności, uporządkowanej od najbiedniejszych do najbogatszych",dochodu narodowego kraju,przedsiębiorstw działających na rynku,wydatków budżetu państwa
We wzorze na PKB metodą wydatków (Y = C + I + G + NX) litera G oznacza:,"wydatki rządowe, z wyłączeniem płatności transferowych",wydatki gospodarstw domowych na dobra trwałego użytku,wartość dóbr wyprodukowanych przez sektor publiczny,sumę podatków płaconych przez przedsiębiorstwa
Dochód rozporządzalny gospodarstw domowych oblicza się jako:,dochód narodowy pomniejszony o podatki (Y − T),PKB pomniejszony o amortyzację,PNB powiększony o dochody z zagranicy,PKB podzielony przez liczbę mieszkańców
Kapitał ludzki + kapitał organizacyjny + kapitał kliencki to:,kapitał intelektualny przedsiębiorstwa,kapitał organizacyjny przedsiębiorstwa,kapitał strukturalny przedsiębiorstwa,wartość rynkowa przedsiębiorstwa
Składnikiem kapitału intelektualnego nie jest:,kapitał finansowy,kapitał ludzki,kapitał relacyjny,kapitał strukturalny
Kapitał intelektualny przedsiębiorstwa to:,różnica między wartością rynkową i wartością księgową przedsiębiorstwa,różnica między aktywami i pasywami przedsiębiorstwa,iloczyn przeciętnego zatrudnienia w przedsiębiorstwie i liczby zgłoszonych patentów,wartość wszystkich patentów i licencji przedsiębiorstwa
"Ludzki wysiłek fizyczny i umysłowy, a także wiedza i umiejętności wnoszone przez pracowników do przedsiębiorstwa, to w klasyfikacji czynników produkcji:",praca,kapitał,przedsiębiorczość,technologia
"Umiejętność dostrzegania potrzeb konsumentów oraz podejmowania decyzji o tym, jak zyskownie je zaspokoić, to czynnik produkcji nazywany:",przedsiębiorczością,pracą,kapitałem,technologią
"Środki pieniężne, maszyny, urządzenia i budynki wykorzystywane w produkcji zalicza się do kapitału:",finansowego i rzeczowego (materialnego),intelektualnego (niematerialnego),ludzkiego,relacyjnego
"Pierwszy na świecie wdrożony system pomiaru wartości kapitału intelektualnego, opracowany przez szwedzką firmę ubezpieczeniową, to:",Nawigator Skandii (Skandia Navigator),model Human Impact and Profit,wskaźnik HDI,wskaźnik Giniego
W modelu okrężnego obiegu dochodów gospodarstwa domowe najczęściej otrzymują pieniądze od przedsiębiorstw w zamian za:,pracę,kapitał,wpłacane podatki,produkty i usługi
W okrężnym obiegu dochodów przedsiębiorstwa uzyskują przychody przede wszystkim na:,"rynku dóbr i usług, sprzedając gospodarstwom domowym swoje produkty","rynku czynników produkcji, sprzedając pracownikom swoje usługi","rynku kapitałowym, emitując obligacje","rynku pracy, kupując siłę roboczą"
"Świadczenia takie jak emerytury czy zasiłki dla bezrobotnych, które państwo wypłaca gospodarstwom domowym bez otrzymania w zamian żadnego dobra lub usługi, nazywane są:",transferami budżetowymi,subsydiami,dochodem rozporządzalnym,dywidendami
"Jeżeli dynamika PKB spada, wzrasta inflacja i bezrobocie, to gospodarka znajduje się w:",fazie recesji,stanie równowagi,fazie ożywienia,fazie upadłości
"Koniunktura gospodarcza to wszelkie zmiany aktywności gospodarczej widoczne w podstawowych wskaźnikach ekonomicznych, do których należą m.in.:","PKB, PNB, inwestycje, konsumpcja, bezrobocie i inflacja",wyłącznie kurs walutowy i stopy procentowe NBP,wyłącznie liczba nowo zarejestrowanych spółek giełdowych,wyłącznie saldo bilansu handlu zagranicznego
Wahania poziomu aktywności gospodarczej wokół długookresowego trendu wzrostu gospodarki nazywamy:,cyklem koniunkturalnym,koniunkturą gospodarczą,wskaźnikiem wyprzedzającym koniunktury,trendem sekularnym
Fazy cyklu koniunkturalnego następują po sobie i z reguły powtarzają się:,co parę lub paręnaście lat,co miesiąc,co kilkadziesiąt–sto lat,w ściśle stałych odstępach czasu co do dnia
Model cyklu koniunkturalnego składający się tylko z dwóch faz – ekspansji i recesji – to model:,współczesny,klasyczny,strukturalny,sezonowy
Ograniczenie współczesnego cyklu koniunkturalnego do dwóch faz jest efektem między innymi:,"interwencji państw w gospodarkę oraz rozwoju sektora usług, bardziej odpornego na załamania niż przemysł",całkowitego zaniku wahań koniunkturalnych we współczesnych gospodarkach,wprowadzenia jednej wspólnej waluty na całym świecie,likwidacji sektora przemysłowego w krajach rozwiniętych
"W klasycznym, czterofazowym modelu cyklu koniunkturalnego fazy następują po sobie w kolejności:","recesja, depresja, ożywienie, rozkwit","depresja, recesja, rozkwit, ożywienie","ożywienie, rozkwit, recesja, depresja","rozkwit, recesja, depresja, ożywienie"
"Dolny punkt zwrotny klasycznego cyklu koniunkturalnego, w którym wskaźniki gospodarcze osiągają najniższy poziom, to:",depresja,recesja,ożywienie,rozkwit
"Fazę klasycznego cyklu koniunkturalnego, w której gospodarka odbija się od dna i wraca na ścieżkę wzrostu, nazywamy:",ożywieniem,recesją,depresją,rozkwitem
"Fazę klasycznego cyklu koniunkturalnego, w której wielkość produkcji przekracza linię długookresowego trendu i zmierza do szczytu wyznaczonego pełnym wykorzystaniem zdolności wytwórczych gospodarki, nazywamy:",rozkwitem (hossą),recesją,depresją,ożywieniem
"We współczesnym, dwufazowym modelu cyklu koniunkturalnego fazę spadku aktywności gospodarczej nazywamy:",recesją,depresją,ekspansją,rozkwitem
"Fazę wzrostu we współczesnym, dwufazowym modelu cyklu koniunkturalnego nazywamy:",ekspansją,rozkwitem,ożywieniem,depresją
"Krótkie, trwające do 4 lat cykle koniunkturalne, dotyczące głównie zmian cen surowców i sytuacji w rolnictwie, to cykle:",Kitchina i Cruma,Juglara,Kuznetsa,Kondratiewa
"Cykle koniunkturalne trwające 6–11 lat, związane z dekoniunkturą na rynku bankowym oraz zmianami inwestycji w kapitale trwałym, to cykle:",Juglara,Kitchina i Cruma,Kuznetsa,Kondratiewa
"Cykle trwające 15–23 lata, dotyczące głównie segmentu budownictwa oraz migracji ludności, to cykle:",Kuznetsa,Kitchina i Cruma,Juglara,Kondratiewa
"Najdłuższe, 45–60-letnie cykle koniunkturalno-strukturalne, wiązane z wielkimi falami innowacji, wojnami i rewolucjami, to cykle:",Kondratiewa (i Gelderna),Kitchina i Cruma,Juglara,Kuznetsa
Dobro wolne to dobro:,które w określonych warunkach występuje w niemal nieograniczonej ilości,"dostarczane przez państwo, które otrzymują wszyscy niezależnie od tego, czy płacą podatki, czy nie",którego sprzedaż rośnie wraz ze wzrostem ceny,z którego mogą korzystać wszyscy po uiszczeniu opłaty licencyjnej
Parą dóbr komplementarnych jest:,pióro i atrament,bilet do kina i bilet do teatru (na ten sam dzień),miesięczny bilet komunikacji miejskiej i karta do biblioteki,woda gazowana i woda niegazowana
Bilet do kina i bilet do teatru to przykład pary dóbr:,substytucyjnych,komplementarnych,neutralnych,wolnych
Efekt substytucyjny:,to zastępowanie jednego dobra drugim,to przeciwieństwo efektu komplementarnego,to zjawisko polegające na wypieraniu z rynku dóbr niższego rzędu,to zjawisko polegające na wypieraniu z rynku dóbr luksusowych
"Gdy elastyczność mieszana jest dodatnia, to:",mamy do czynienia z dobrami substytucyjnymi,mamy do czynienia z dobrami komplementarnymi,przy wzroście ceny danego dobra rośnie jego konsumpcja,przy wzroście ceny danego dobra maleje jego konsumpcja
"Dobra, w przypadku których istnieje możliwość wyłączenia z konsumpcji osób, które za nie nie płacą, i w przypadku których występuje konkurencyjność konsumpcji (kolejna osoba zmniejsza użyteczność pozostałych konsumentów), to dobra:",prywatne,klubowe,publiczne,wolne
W jaki sposób spadek ceny dobra wpłynie na dobro substytucyjne?,popyt na dobro substytucyjne zmniejszy się,podaż dobra substytucyjnego wzrośnie,popyt na dobro substytucyjne nie zmieni się,popyt na dobro substytucyjne wzrośnie
Dla dóbr niższego rzędu elastyczność dochodowa popytu jest:,ujemna,dodatnia,zerowa,równa elastyczności cenowej popytu
"Dobra, które muszą zostać wytworzone przez człowieka, ponieważ ich pozyskanie zużywa pracę lub zasoby, nazywamy dobrami:",ekonomicznymi,wolnymi,publicznymi,komplementarnymi
"Maszyny, surowce i budynki wykorzystywane w procesie wytwarzania kolejnych dóbr to dobra:",produkcyjne (kapitałowe),konsumpcyjne,wolne,komplementarne
"Dobra całkowicie niewyłączalne i nierywalizacyjne w konsumpcji, takie jak obrona narodowa, to dobra:",publiczne,prywatne,klubowe,wspólne
"Ławice ryb na wodach międzynarodowych, do których dostęp ma każdy, ale złowienie ryby przez jedną osobę zmniejsza pulę dostępną dla innych, to przykład dóbr:",wspólnych,publicznych,klubowych,prywatnych
"Zjawisko polegające na unikaniu płacenia za dobro publiczne w nadziei, że koszt poniosą inni, nazywa się efektem:",gapowicza,Veblena,kuli śnieżnej,tragedii wspólnego pastwiska
"Płatne kanały telewizyjne, z których korzystania łatwo wykluczyć osoby nieopłacające abonamentu, ale oglądanie ich przez jedną osobę nie zmniejsza satysfakcji innych widzów, to przykład dóbr:",klubowych,publicznych,wspólnych,prywatnych
"Dobra, na które popyt rośnie wyraźnie szybciej niż dochód konsumenta, to dobra normalne:",luksusowe,podstawowe,niższego rzędu,Giffena
Dla dóbr doskonale substytucyjnych krzywa obojętności przyjmuje kształt:,prostej linii,litery L,krzywej wypukłej względem początku układu współrzędnych,okręgu
Krzywa obojętności:,"określa kombinacje dwóch dóbr, które zaspokajają potrzeby konsumenta w jednakowym stopniu",ma nachylenie dodatnie,przedstawia koszty alternatywne,zależy od cen dóbr i usług
Z każdym zjedzonym pączkiem użyteczność krańcowa z konsumpcji pączków:,maleje,rośnie,nie zmienia się,wynosi 0
Z każdym zjedzonym kawałkiem szarlotki użyteczność krańcowa z konsumpcji szarlotki:,maleje,rośnie,nie zmienia się,wynosi 0
"Reguła decyzyjna, w której konsument wybiera jedną, najważniejszą cechę produktu i porównuje opcje tylko na jej podstawie, to reguła:",leksykograficzna,satysfakcji,kompensacyjna,sumowania użyteczności
"Konsument z góry ustala minimalny poziom wymagań dla danej cechy produktu i kupuje pierwszy produkt, który go spełnia, ignorując resztę oferty. Jest to reguła:",satysfakcji,leksykograficzna,kompensacyjna,dominacji
W regule kompensacyjnej wysoka ocena jednej cechy produktu (np. niska awaryjność) może:,zrekompensować braki w innej cesze (np. wysokim spalaniu),wykluczyć dany produkt z dalszych rozważań,zostać całkowicie pominięta przy podejmowaniu decyzji,zostać podwojona przy ocenie końcowej
"Zgodnie z teorią wyboru konsumenta, racjonalny konsument dąży do:",maksymalizacji użyteczności przy ograniczonych zasobach,minimalizacji wydatków niezależnie od uzyskanej satysfakcji,równomiernego podziału wydatków na wszystkie dostępne dobra,maksymalizacji liczby kupowanych jednostek dóbr
"Graficzne przedstawienie wszystkich kombinacji dwóch dóbr, które konsument może nabyć, wydając cały swój dochód przy danych cenach, to:",linia ograniczenia budżetowego,krzywa obojętności,krzywa Lorenza,krzywa popytu
Optymalny wybór konsumenta (równowagę konsumenta) wyznacza punkt:,styczności linii ograniczenia budżetowego z najwyżej położoną możliwą krzywą obojętności,przecięcia krzywej popytu z krzywą podaży,przecięcia dwóch różnych krzywych obojętności,początku układu współrzędnych na wykresie linii budżetowej
"Gospodarstwo domowe zarabia 100 zł, płaci 20 zł podatku, a z pozostałych 80 zł oszczędza 10 zł. Stopa konsumpcji tego gospodarstwa wynosi:","87,50%","12,50%",80%,10%
Zgodnie z prawem podaży:,"jeżeli cena dobra rośnie, to producenci są zainteresowani dostarczeniem większej ilości dobra na rynek","jeżeli cena dobra rośnie, to producenci są zainteresowani dostarczeniem mniejszej ilości dobra na rynek","jeżeli cena dobra spada, to producenci są zainteresowani dostarczeniem takiej samej ilości dobra na rynek",podaż na rynku jest stała
Zgodnie z prawem podaży:,"jeżeli cena dobra zwiększa się, to producenci są zainteresowani dostarczeniem większej ilości dobra na rynek","jeżeli cena dobra zmniejsza się, to producenci są zainteresowani dostarczeniem takiej samej ilości dobra na rynek","jeżeli cena dobra zwiększa się, to producenci są zainteresowani dostarczeniem mniejszej ilości dobra na rynek",podaż na rynku jest stała
"Informacja, że przy cenie 5 zł za gałkę lodziarnia zaoferuje na sprzedaż dokładnie 200 gałek lodów, to przykład:",wielkości podaży przy danej cenie,całej podaży lodów,elastyczności cenowej podaży,pozacenowej determinanty podaży
